,Flux
0,133.9208856512822
1,276.02375147285306
2,471.65679751723803
3,649.4829219231463
4,741.5390291496388
5,747.4071989022681
6,718.8611648168788
7,699.6703523952615
8,702.6747570060959
9,716.9518820640994
10,721.7008332768847
11,710.5733748053888
12,700.599942283268
13,711.1789600088526
14,736.8673162226908
15,736.1336263249092
16,655.0098609923856
17,485.6714500894294
18,290.0287518752815
19,142.7706539328754
20,123.03099743621624
21,249.16723311912585
22,420.5872232963188
23,582.4527932331391
24,679.8240770509166
25,703.1591321214003
26,685.6606983250458
27,663.3864768809066
28,652.1130151965442
29,651.0927911075752
30,652.7524081839292
31,653.4824978146611
32,659.1288220161392
33,676.0619805554444
34,692.4489918907385
35,673.3849913792938
36,586.247345340747
37,435.2854254862437
38,267.5747597498167
39,137.69793040604165
40,103.08084052815708
41,202.7580355003972
42,339.92528533532015
43,481.5435501736383
44,587.9937830063992
45,639.6658075903931
46,647.1243050519848
47,635.8268481336889
48,624.3750523235019
49,617.866003961589
50,614.9394156188433
51,616.5343678606608
52,626.4879271839569
53,640.7401089802531
54,638.3560135769044
55,593.0950349747047
56,494.15048468397265
57,357.1384825224028
58,220.21429814345692
59,118.51602806633623
60,81.25498503949952
61,159.65714250597054
62,274.4646123770613
63,404.68841327714296
64,518.5259303749057
65,591.4514576059619
66,617.8803341002299
67,613.5876123213857
68,600.9028843298719
69,590.9320732264425
70,584.6454872264787
71,583.3107638003694
72,589.3781078620799
73,596.5075405189431
74,585.5047290277528
75,537.03194589431
76,445.2229076336007
77,323.4622778871528
78,202.89216803564545
79,112.69810563943187
80,76.85314990265434
81,149.04120317820602
82,252.47987521731758
83,369.5854826379197
84,475.8468827899239
85,551.484660331659
86,588.1048796213183
87,593.9936930304582
88,586.8322707469803
89,578.2759204634202
90,571.3681891344481
91,567.7042577389411
92,568.0751912593274
93,565.3917351902314
94,544.1424464256468
95,491.7131095472323
96,406.5314189649469
97,299.34168184872397
98,193.02539728875823
99,110.85826393855957
100,72.40815569878336
101,140.88670754068968
102,238.9761697568317
103,350.27459003923485
104,451.8204076545427
105,525.1268217412912
106,562.1706864425332
107,569.7332775214546
108,563.6103341018118
109,555.2379674356843
110,548.5080931824905
111,545.4550981790713
112,546.7683567060614
113,545.1615883763703
114,524.9177379449293
115,473.3448035743671
116,389.4103707062675
117,284.67948654449464
118,181.9287041966486
119,103.30163929321148
