,Flux
0,10.627958971821736
1,22.008301358969774
2,37.337074436062366
3,51.48771827236436
4,59.537416670324575
5,60.70652738843602
6,58.50585790214185
7,56.80987055697448
8,56.87646381379367
9,57.73130824296808
10,57.92323744677887
11,57.15478598981283
12,56.661528011793315
13,57.77629182029372
14,59.77466424291419
15,59.1509208692714
16,52.08508088518819
17,38.480662339866754
18,22.942846764416032
19,11.105654397151334
20,11.521801304724894
21,23.993168494866577
22,41.338782286155684
23,57.454560561392725
24,66.26894461318163
25,67.18131164136966
26,64.49107974850604
27,62.53691578585287
28,62.96862660514893
29,64.47803470018192
30,64.64868450923625
31,63.19160629477138
32,62.390851925026595
33,63.96913285306735
34,66.57760452905822
35,66.04214870034816
36,57.97820564219682
37,42.36148919554484
38,24.84601581394713
39,11.938284304105446
40,12.133123546518604
41,25.28735187872779
42,43.84918507581211
43,60.912460797671
44,69.79714686322937
45,70.45193726966104
46,67.73977242686135
47,65.65873976382197
48,65.70608250431083
49,67.07291477279902
50,67.52807941493508
51,66.38401947880577
52,65.49383900030168
53,66.63369767383708
54,69.12323957375793
55,69.15960235447793
56,61.44096245873462
57,45.053378716012666
58,26.292146772187547
59,12.621705432606294
60,12.395137298384249
61,25.88140069061695
62,45.087736839723355
63,62.603678321485845
64,71.35256936075871
65,71.79312464808008
66,69.3433105765949
67,67.67664381735798
68,67.84317069557629
69,69.2371907650287
70,69.8874948637708
71,68.94217655685401
72,68.09893676533089
73,69.21933521537781
74,71.65065313580054
75,71.54374401244887
76,63.486038827238495
77,46.521418505144574
78,27.14523224884534
79,13.077240839885008
80,12.651724765786751
81,26.513818186466107
82,46.262603184700154
83,64.33328237935598
84,73.38809596538604
85,73.78186070184117
86,71.18023225904341
87,69.67230247443479
88,70.27688201245529
89,71.80090767038065
90,72.01134078550632
91,70.52987140060185
92,69.63229660870749
93,71.16147955194212
94,73.93486714830989
95,73.68396971759599
96,65.13073934344706
97,47.66378535210719
98,27.881638816718198
99,13.460356529118545
100,12.574247747504545
101,26.41206004771864
102,46.01737762392608
103,64.14077805214721
104,73.59076154519546
105,74.23373445994946
106,71.27788691922017
107,69.05797750120037
108,69.18017894910832
109,70.76615759697773
110,71.3630514365668
111,70.13714719927576
112,69.25076656397763
113,70.80335509611551
114,73.67737071442505
115,73.4364109652138
116,64.83416486044408
117,47.4139909446527
118,27.73672113934019
119,13.336483270966704
120,11.606841149357471
121,24.662597463988572
122,43.21567085185192
123,60.34764537202165
124,69.24247431123598
125,69.90972153981173
126,67.39085190761946
127,65.76189605017586
128,66.316667865893
129,67.89119374880832
130,68.12129459676743
131,66.60366283911569
132,65.7341067615331
133,67.36105879376427
134,70.05643769271353
135,69.52106720986667
136,61.07807353233622
137,44.53401440094473
138,25.98733419414693
139,12.400802835546546
140,10.476508036441427
141,22.609527270169462
142,39.9717081083941
143,56.38035443351225
144,65.46137387697321
145,66.47444718481921
146,63.61231230973495
147,61.39282705359811
148,62.09311050974655
149,64.36846302767033
150,64.85914603069423
151,62.91003239310834
152,61.61005257117823
153,63.27977619296311
154,66.07233369402829
155,65.33900550367403
156,56.92740001676498
157,41.184913408800725
158,23.83715347642368
159,11.195718706893793
160,9.203904271634963
161,20.236076845691933
162,36.066310560231344
163,51.30660109144539
164,60.17252468893454
165,61.363402579122905
166,58.32501980117512
167,55.85424839552312
168,56.677553111297655
169,59.0857735258211
170,59.35738547757053
171,57.14148108290421
172,55.998053620868646
173,58.150266390636425
174,61.08317113976134
175,59.94386790544436
176,51.49071754470775
177,36.84438044009827
178,21.16051088250251
179,9.784859685341356
180,7.927120243845067
181,17.68007061738848
182,31.59203347566033
183,45.31842535323877
184,53.87379132011032
185,55.40587536371906
186,52.578943536051256
187,50.26662116696671
188,51.25674734344573
189,53.51570125361122
190,53.407903930920156
191,51.0193153068894
192,50.05425254487238
193,52.427502131105
194,55.33321337936637
195,54.05835821808311
196,45.98631908735005
197,32.644936076607735
198,18.647585859205687
199,8.485967206334967
200,6.976319502315834
201,15.839150813818733
202,28.39016759157329
203,40.732590149617415
204,48.319836611783806
205,49.50449769750885
206,46.901130536662855
207,44.81566124184217
208,45.45987469422933
209,47.230329022662275
210,47.271293615719024
211,45.52642364038832
212,44.91309695012367
213,47.04770606477955
214,49.561204158637196
215,48.291507882960694
216,40.93970815197033
217,29.00729793758956
218,16.566656079621108
219,7.4613758144427225
220,6.110584931093303
221,13.935086378348831
222,24.661271054443603
223,34.82270056828302
224,40.929024036257346
225,41.99370630894104
226,40.26742173882871
227,38.885138950175794
228,39.048978639003046
229,39.89283287965775
230,40.110442767338476
231,39.386660259052675
232,38.82747665964495
233,39.692161500128954
234,41.30047319555503
235,40.75113156782515
236,35.50833997259251
237,25.940574864225503
238,15.18697023529266
239,6.912061502390393
240,4.280954724345054
241,9.56476470300473
242,17.453650469162426
243,26.137675370846328
244,33.08498530001372
245,36.706709653914
246,37.17144519057322
247,36.197456066939246
248,35.45913460817156
249,35.32011400471738
250,35.428520403015234
251,35.66927051749722
252,36.227803101003964
253,36.924565515328105
254,36.63507233360301
255,33.9369489869485
256,28.17182329696132
257,20.078221358023246
258,11.844376477553382
259,5.6863744266042735
260,4.089917517220699
261,8.466650268043548
262,14.668181780303753
263,21.615714795205626
264,27.818714088369518
265,32.01114994679985
266,33.62025788155926
267,33.15870683901709
268,31.960955704625764
269,31.163496217014853
270,31.136214747610282
271,31.74066520062189
272,32.61101182377861
273,32.98651618778829
274,31.85969026195511
275,28.54861302674282
276,23.141077890826093
277,16.524077707930545
278,10.123205742009768
279,5.2409031664266035
280,3.436046284558887
281,6.863667533000847
282,11.8347561689468
283,17.805408549413485
284,23.818931611310948
285,28.82027206343924
286,32.00010775578571
287,33.20004906544998
288,33.06140552937747
289,32.62036121599213
290,32.58147725044274
291,32.87338455700213
292,32.82412279629547
293,31.80847267865137
294,29.60872320157425
295,26.099214092356505
296,21.16294453947432
297,15.230808212787672
298,9.485058034130628
299,5.096033362359584
300,3.392855600622206
301,6.658374963034184
302,11.411120257875394
303,17.15856692834328
304,23.117774305276946
305,28.55407807676093
306,32.819236836125114
307,35.35582113576886
308,36.13273516778125
309,35.846526855420535
310,35.400106534302566
311,35.11225731571125
312,34.5811014999325
313,33.20055530505916
314,30.575970032426987
315,26.525835525499897
316,21.100822656151873
317,14.950010659989696
318,9.277099747509792
319,5.081938846659118
320,3.4779149658691297
321,6.884252293562166
322,12.05875089077009
323,18.56284267309205
324,25.40955711739955
325,31.516067655181626
326,36.02573028580307
327,38.523428590455254
328,39.27406355736724
329,39.14019925876088
330,38.92947017574912
331,38.715983351183965
332,37.922319912157256
333,36.00348876922267
334,32.86810936618464
335,28.518765408649713
336,22.917037383400988
337,16.510093252311627
338,10.4431974790813
339,5.823253799665455
340,5.23718577739263
341,10.036283208256148
