,Flux
0,308.99847343213895
1,408.0029705897892
2,534.8543898096932
3,688.7538518109325
4,862.7615647341289
5,1043.5962702441723
6,1213.775268116786
7,1355.499536615855
8,1454.6467416764312
9,1503.1180260569959
10,1498.9097768927552
11,1444.8220774571826
12,1347.1960087709454
13,1215.2003767835502
14,1060.2741625769188
15,895.2787153420587
16,733.1824761540282
17,585.2332208021552
18,458.9844293121297
19,357.1471661388877
20,311.81929105828436
21,411.8875893937633
22,540.1625862091322
23,695.8314084536536
24,871.8677793310577
25,1054.8428840831577
26,1227.095592799292
27,1370.6467515956215
28,1471.2046734490855
29,1520.5136697062226
30,1516.439070997676
31,1461.7117165376844
32,1362.7065988605016
33,1228.7454376520252
34,1071.5147998992206
35,904.1628684685127
36,739.916497902953
37,590.1943574072744
38,462.6057458600765
39,359.81935383271104
40,306.8539676822962
41,405.0279910377205
42,530.6607481107103
43,682.9247085737558
44,854.961127096723
45,1033.7113211815981
46,1202.0434726288333
47,1342.5558135953606
48,1441.4311753596342
49,1490.6538624182085
50,1488.038013685995
51,1436.004382858569
52,1340.4550223737615
53,1210.2012742595364
54,1056.5037186727986
55,892.2484004571512
56,730.5705425152826
57,582.9108720807295
58,456.94311193541466
59,355.4021595629641
60,297.64260229030594
61,393.8466759689077
62,517.2066008253777
63,667.0051167815907
64,836.5487728050205
65,1012.9633027664032
66,1179.2948444200795
67,1318.3096288516465
68,1416.3418076632474
69,1465.471014340767
70,1463.496579251805
71,1412.7018834190148
72,1318.783677614775
73,1190.3602240573186
74,1038.5596693979244
75,876.1997778777303
76,716.3904118732344
77,570.5594200605951
78,446.3516198108572
79,346.44872657233185
80,285.37449147911894
81,379.1212899106697
82,499.48275197264053
83,645.7655858066273
84,811.4947520138048
85,984.2130408090158
86,1147.4461770296518
87,1284.2853538570516
88,1381.0914213381782
89,1429.7228654895373
90,1427.7227469952359
91,1377.2935464651125
92,1284.2801191894407
93,1157.5519939904088
94,1008.388203367766
95,849.5080717524098
96,693.6640976221066
97,551.8003507929849
98,431.1439162889325
99,334.1587706879826
100,266.57722742764054
101,353.79713592003634
102,465.79232164648863
103,602.7902095398657
104,760.0272118383723
105,926.8969233130863
106,1087.9486275974216
107,1225.7785372163273
108,1324.819917968472
109,1374.5176446009482
110,1370.8786864368406
111,1316.4230464075388
112,1219.093972694693
113,1090.5305192874623
114,943.9996827178874
115,792.4693109222859
116,647.1934360650176
117,516.713596425912
118,406.09603162980034
119,316.6676317993713
120,247.27684722851242
121,328.726849026898
122,433.9504687812667
123,564.2298384014238
124,716.3166599384224
125,880.8143276232829
126,1042.234715516881
127,1181.4233882181586
128,1279.866327435279
129,1324.3164291892222
130,1310.0256618210415
131,1241.5807813637605
132,1131.2304278393758
133,995.3278785258733
134,850.1688010449393
135,708.7883377647032
136,579.6789803010357
137,467.18742051199706
138,372.6043072153016
139,295.1876314387788
140,232.0729753788793
141,310.62686118447965
142,412.63251683897766
143,539.3150804820142
144,687.312170892081
145,847.1176260297814
146,1003.1970056076253
147,1136.3925846959642
148,1228.1782309353325
149,1265.369791716743
150,1243.639104062927
151,1168.617573461508
152,1054.1531336968146
153,918.2392403414984
154,778.1161661689401
155,646.4958486646135
156,530.2171452069706
157,431.20673384584916
158,348.50493195126234
159,280.0645892397024
160,219.07668909523682
161,294.51899919609883
162,391.92693793788527
163,511.51561353682473
164,649.019035746785
165,794.8472044652008
166,934.809797030387
167,1052.5023140716723
168,1132.7457048664508
169,1165.0738232727788
170,1146.262216478618
171,1081.117957036195
172,981.1455468653546
173,861.3769709311273
174,736.469501583054
175,617.5837564468499
176,511.105474481173
177,419.2202821728389
178,341.47417026487204
179,276.3066999769905
180,208.32705982181062
181,280.40970447711663
182,372.78809839605935
183,485.001113659179
184,612.3778880187953
185,745.6280100754523
186,871.8846191049521
187,977.0465135991324
188,1048.6958396632513
189,1078.71048158569
190,1064.9000794162228
191,1011.2934824539418
192,926.9833479169977
193,823.8015378717803
194,713.5466013912053
195,605.7138281326254
196,506.41501051514916
197,418.54669407569634
198,342.715289948566
199,278.2851343122311
200,202.48269660864258
201,272.4973145278321
202,361.46885004975593
203,468.5746369294107
204,589.1935397769089
205,714.6882386399902
206,833.3992981899246
207,932.6709427702942
208,1001.3175067324789
209,1031.8483599618446
210,1021.9258576967873
211,974.7282125491369
212,898.0807666483611
213,802.5225010916282
214,698.8819144491431
215,596.1826099731352
216,500.5258191086448
217,415.07886258078696
218,340.79959110066346
219,277.3525451812826
220,198.55378091974143
221,267.5083232199442
222,355.23146675747245
223,461.00800446742403
224,580.3850639728522
225,704.8979648372788
226,822.9834734557795
227,921.9542568506444
228,990.4936890392444
229,1020.9831501359787
230,1011.0631915827278
231,964.0167427200636
232,887.8201189644827
233,793.0941040519289
234,690.6169624346077
235,589.254980250705
236,494.92380717426886
237,410.6496384337294
238,337.3239709724419
239,274.60960599776547
240,200.89518848621844
241,271.55967066092325
242,361.86328213440316
243,471.10809034162145
244,594.5457490568264
245,723.1039871897194
246,844.4823796242737
247,945.4063383238994
248,1014.3220988475688
249,1043.7267232533495
250,1031.579019225801
251,981.5265027871923
252,901.8916130728334
253,803.6257506855684
254,697.8163299833564
255,593.5734523451349
256,496.9447711307569
257,410.96960064216836
