,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH
0,9.0,5.0,10.0,960.0,31.454621814289304,43.581964677990925,20.0,34.3
1,29.0,12.0,18.0,24.0,18.626646398462725,253.06426831919345,29.9,33.0
2,28.0,3.0,9.0,0.0,28.524504443846666,69.20075140537809,24.5,51.2
3,5.0,7.0,7.0,348.0,-6.552312460841051,67.47652007289612,9.7,43.1
4,21.0,9.0,2.0,0.0,-54.969891640378364,137.4049492019951,12.9,14.2
5,8.0,9.0,21.0,0.0,-34.910780577060834,256.57382141161827,9.0,31.4
6,11.0,6.0,13.0,860.0,38.13248161827897,352.63837786424347,23.8,17.7
7,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8
8,11.0,1.0,16.0,658.0,45.26345513666239,266.7845222705157,37.5,11.1
9,2.0,2.0,7.0,917.0,10.366979352481891,103.8877226015907,20.1,13.7
10,26.0,8.0,20.0,0.0,-23.128069085226286,269.9369542829296,16.7,33.1
11,15.0,10.0,6.0,300.0,-0.7309304058554886,99.6808526325846,22.2,46.0
12,27.0,10.0,4.0,0.0,-22.825006193253856,119.64002236234634,19.1,32.8
13,5.0,4.0,1.0,0.0,-66.71823993215918,166.50678841845874,18.0,39.2
14,15.0,3.0,17.0,17.0,24.178500808266804,280.96161345506323,28.5,31.1
15,1.0,9.0,17.0,77.0,16.319999823148933,289.677700275583,20.5,21.7
16,28.0,12.0,9.0,941.0,41.34564342998841,97.02131125647854,34.5,14.8
17,28.0,5.0,11.0,949.0,35.4199489729705,26.700055624886296,14.8,38.7
18,6.0,10.0,2.0,0.0,-49.47234246522595,141.17047038657287,8.2,46.6
19,9.0,3.0,0.0,0.0,-54.8505701736334,159.44738476497906,25.6,22.6
20,30.0,6.0,12.0,729.0,37.43648339774842,11.251109687880374,23.2,24.5
21,27.0,6.0,12.0,882.0,37.33320948858547,11.04660003800479,14.5,40.5
22,11.0,4.0,11.0,1028.0,46.6609318991057,36.32314563152877,25.0,23.9
23,13.0,1.0,19.0,0.0,6.766131689780437,249.04247953941308,29.4,16.2
24,24.0,5.0,8.0,507.0,8.03930175291616,61.255414146243055,18.1,45.8
25,14.0,2.0,2.0,0.0,-44.9092316347176,155.56794852050032,22.2,20.9
26,2.0,10.0,2.0,0.0,-50.927127012669104,140.22003069311032,8.3,47.2
27,27.0,11.0,1.0,0.0,-39.79333680714339,168.96276296133095,18.5,19.0
28,18.0,8.0,9.0,115.0,22.396716419532027,59.412300901685576,17.0,38.6
29,26.0,2.0,17.0,633.0,28.179978179400912,275.06435151329686,30.8,24.2
30,6.0,4.0,17.0,0.0,18.23614340300729,287.8616357095352,27.4,23.0
31,14.0,8.0,20.0,0.0,-24.205249593703172,274.1090307568476,11.1,30.1
32,1.0,6.0,14.0,906.0,35.40042323129691,335.0899752036814,16.7,40.8
33,19.0,6.0,6.0,67.0,-18.512337691472922,72.82772184507722,6.8,78.8
34,11.0,5.0,1.0,0.0,-77.38185133274195,147.65079435560466,9.3,61.5
35,12.0,10.0,11.0,1038.0,61.11538002065135,45.926342489254196,23.6,21.8
36,10.0,12.0,2.0,0.0,-34.180396796452825,154.3955622110223,21.8,27.2
37,18.0,5.0,5.0,0.0,-28.778814159371223,82.40890137558992,15.4,63.3
38,25.0,10.0,3.0,0.0,-34.13519400655295,130.39386349597478,8.5,50.3
