,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH,n_panel
0,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,1.0
1,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,2.0
2,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,3.0
3,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,4.0
4,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,5.0
5,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,6.0
6,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,7.0
7,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,8.0
8,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,9.0
9,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,10.0
10,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,11.0
11,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,12.0
12,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,13.0
13,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,14.0
14,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,15.0
15,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,16.0
16,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,17.0
17,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,18.0
18,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,19.0
19,9.0,5.0,10.0,960.0,31.454621814289304,43.58196467799093,20.0,34.3,20.0
20,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,1.0
21,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,2.0
22,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,3.0
23,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,4.0
24,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,5.0
25,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,6.0
26,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,7.0
27,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,8.0
28,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,9.0
29,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,10.0
30,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,11.0
31,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,12.0
32,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,13.0
33,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,14.0
34,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,15.0
35,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,16.0
36,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,17.0
37,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,18.0
38,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,19.0
39,29.0,12.0,18.0,24.0,18.62664639846273,253.06426831919342,29.9,33.0,20.0
40,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,1.0
41,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,2.0
42,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,3.0
43,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,4.0
44,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,5.0
45,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,6.0
46,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,7.0
47,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,8.0
48,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,9.0
49,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,10.0
50,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,11.0
51,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,12.0
52,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,13.0
53,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,14.0
54,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,15.0
55,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,16.0
56,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,17.0
57,28.0,3.0,9.0,0.0,28.524504443846663,69.2007514053781,24.5,51.2,18.0
